4501,各種服飾租賃
4501,服裝租賃
4501,禮服租賃
4501,晚禮服租賃
4501,制服租賃
4502,占星服務
4502,算命
4502,星相
4502,堪輿
4503,婚友介紹
4503,婚姻介紹所
4503,交友服務
4504,喪葬服務
4504,代辦喪葬事宜
4504,喪禮禮堂佈置
4504,葬儀社
4504,火葬場服務
4504,預定殯葬服務
4504,殯儀服務
4504,殯葬會場出租服務
450501,夜間守衛
450501,守衛服務
450501,各種場所之安全保護
450501,安全及防盜警報系統的監控
450501,為安全目的之行李檢查
450501,現金或其他貴重物品運送之安全維護
450501,人身之安全維護
450501,私人保鑣
450501,保全
450501,保全諮詢
450501,為保護財產或個人所提供之安全服務
450505,大樓安全管理
450505,大樓安全管理諮詢顧問
450506,偵探社
450506,尋人調查
450506,個人背景調查
450506,失物尋還
450507,消防
450507,工廠安全檢查
450507,火災警報器出租
450507,滅火器出租
450507,急難搜救
450508,保險箱出租
4506,婚禮安排服務
4506,婚禮計畫和安排服務
4506,結婚儀式及場地禮車之安排佈置
4506,宴會會場佈置
4511,開保險鎖
4511,安全鎖之開啟
4512,收養仲介服務
4513,籌劃宗教集會
4513,代辦法會服務
4518,家事管理
4518,管家服務
4518,住家臨時看管
4518,代私人採買物品
4518,社交伴護
4518,嬰兒臨時照護
4518,寵物臨時照護
4522,代理智慧財產權申請及有關事務之處理
4522,代理智慧財產權租讓授權及有關之諮詢
4522,智慧財產監視服務
4522,代理專利申請及有關事務之處理
4522,代理專利租讓授權及有關之諮詢
4522,代理商標申請及有關事務之處理
4522,代理商標租讓授權及有關之諮詢
4522,著作權管理
4522,著作財產權授權
4522,代理電腦軟體授權之法律事項服務
4522,代理網域名稱註冊之法律事項服務
4522,法律服務
4522,仲裁服務
4522,各種訴訟代理及法律諮詢顧問
4522,訴訟服務
4522,調解
4522,替代性糾紛解決服務
4522,法律事項公證服務
4522,代辦工商登記
4522,代辦移民簽證
4522,代辦地政登記
4525,宗譜研究
4526,提供流行時尚資訊
4526,提供個人整體造型諮詢
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
